Product_Category,SoldBy,Publisher,Title,Author,KindleeBooks SalesRank,SalePrice,TotalReviews,AverageRating,Preorder,DatePublished,Format,IndiePublisher,SmallMediumPublisher,AmazonPublsher,BigFivePublisher,UncategorizedSingle-AuthorPublisher,Pages,DailyUnitsSold,DailyGrossSales ,DailyAmazonRevenue,DailyPublisherRevenue,DailyAuthorRevenue,Category
Print,W. W. Norton & Company,publisher00000520,title00631181,author00177468,42563,26.46,4,5,0,11/2/2015,Hardcover,0,1,0,0,0,672,3,$86.75 ,$21.26 ,$45.84 ,$19.65 ,0
Print,Penguin Group (USA) LLC,publisher00000330,title00621903,author00098326,42565,6.95,11,4.3,0,5/4/2010,Mass Market Paperback,0,0,0,1,0,448,3,$22.79 ,$11.39 ,$10.03 ,$1.37 ,0
Print,"Amazon Digital Services,  Inc.",publisher00004411,title00639025,author00346390,42570,29.89,25,4.5,0,7/9/2015,Paperback,0,1,0,0,0,480,3,$97.98 ,$40.70 ,$48.12 ,$9.17 ,0
Print,Macmillan,publisher00001756,title00725514,author00167923,42571,15.91,101,4.4,0,10/15/1994,Paperback,0,0,0,1,0,416,3,$52.15 ,$21.05 ,$26.13 ,$4.98 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00000103,title00648991,NA,42572,8.99,151,4.5,0,5/1/2004,Mass Market Paperback,0,0,0,1,0,1824,3,$29.47 ,$14.73 ,$12.97 ,$1.77 ,0
Print,Random House LLC,publisher00000022,title00630101,author00095108,42573,21.12,18,3.4,0,9/21/2010,Hardcover,0,0,0,1,0,240,3,$69.23 ,$26.62 ,$29.83 ,$12.78 ,0
Print,HarperCollins Publishers,publisher00000754,title00737827,author00096571,42574,6.71,192,4.6,0,8/12/2008,Mass Market Paperback,0,0,0,1,0,368,3,$21.99 ,$7.26 ,$12.97 ,$1.77 ,0
Print,Penguin Group (USA) LLC,publisher00036357,title00608047,author00116182,42576,17.14,29,5,0,10/27/2015,Hardcover,0,0,0,1,0,208,3,$56.18 ,$15.21 ,$28.68 ,$12.29 ,0
Print,"Amazon Digital Services,  Inc.",publisher00007603,title00700819,author00314802,42579,15.73,16,4.6,0,10/1/2015,Paperback,0,1,0,0,0,280,3,$51.56 ,$20.50 ,$26.09 ,$4.97 ,0
Print,"Amazon Digital Services,  Inc.",publisher00005854,title00725353,author00118138,42580,20,18,4.7,0,7/1/2004,Paperback,0,1,0,0,0,272,3,$65.55 ,$16.39 ,$41.30 ,$7.87 ,0
Print,Random House LLC,publisher00001845,title00626614,author00191983,42581,15.41,24,4.6,0,4/14/2015,Hardcover,0,0,0,1,0,256,3,$50.50 ,$14.45 ,$25.24 ,$10.82 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002242,title00687277,author00129304,42582,10.41,52,4.4,0,6/30/2008,Paperback,0,1,0,0,0,360,3,$34.12 ,$1.38 ,$27.50 ,$5.24 ,0
Print,"Amazon Digital Services,  Inc.",publisher00012994,title00716332,author00095198,42585,17,70,4.7,0,7/10/2006,Paperback,0,1,0,0,0,400,3,$55.71 ,$19.68 ,$30.27 ,$5.77 ,0
Print,DC Comics,publisher00002862,title00636164,author00094167,42590,16.89,40,4.7,0,4/21/2015,Hardcover,0,1,0,0,0,176,3,$55.34 ,$17.68 ,$26.37 ,$11.30 ,0
Print,Penguin Group (USA) LLC,publisher00001786,title00672940,author00107414,42592,8.98,104,4.4,0,8/27/2013,Paperback,0,0,0,1,0,240,3,$29.42 ,$3.21 ,$22.02 ,$4.19 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002156,title00612483,author00104568,42594,11.5,217,4.2,0,10/8/2013,Paperback,0,1,0,0,0,352,3,$37.68 ,$11.47 ,$22.02 ,$4.19 ,0
Print,HarperCollins Christian Publishing,publisher00000097,title00673054,author00096706,42595,11.17,105,4.4,0,4/1/2013,Paperback,0,0,0,1,0,288,3,$36.60 ,$8.78 ,$23.37 ,$4.45 ,0
Print,Random House LLC,publisher00000603,title00628436,author00096648,42596,22.95,617,4.6,0,4/8/2014,Hardcover,0,0,0,1,0,448,3,$75.19 ,$30.96 ,$30.96 ,$13.27 ,0
Print,"Amazon Digital Services,  Inc.",publisher00004631,title00654932,author00100986,42599,10.66,6,3.7,0,12/15/2015,Paperback,0,1,0,0,0,80,3,$34.92 ,$10.43 ,$20.57 ,$3.92 ,0
Print,Hachette Book Group,publisher00000012,title00614706,author00273610,42600,28.75,42,4.8,0,10/18/2010,Hardcover,0,0,0,1,0,344,3,$94.19 ,$28.67 ,$45.86 ,$19.66 ,0
Print,"Amazon Digital Services,  Inc.",publisher00000954,title00599900,author00341710,42605,8.99,16,4.9,0,10/27/2013,Paperback,1,1,0,0,0,26,3,$29.45 ,$16.86 ,$0.00 ,$12.59 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00000030,title00606159,author00095083,42610,8.69,148,4.4,0,4/8/2014,Paperback,0,0,0,1,0,352,3,$28.46 ,$3.90 ,$20.63 ,$3.93 ,0
Print,"Amazon Digital Services,  Inc.",publisher00002444,title00601849,author00341707,42611,9.77,165,4.7,0,9/13/2011,Paperback,0,1,0,0,0,240,3,$32.00 ,$14.00 ,$15.12 ,$2.88 ,0
Print,"Amazon Digital Services,  Inc.",publisher00073985,title00602030,author00341935,42612,10.28,8,4.5,0,10/13/2015,Paperback,0,1,0,0,0,178,3,$33.67 ,$12.40 ,$17.87 ,$3.40 ,0
Print,Hachette Book Group,publisher00032600,title00605708,author00095808,42613,19.3,963,4.7,0,9/29/2009,Hardcover,0,0,0,1,0,272,3,$63.21 ,$23.92 ,$27.50 ,$11.79 ,0
Print,"Amazon Digital Services,  Inc.",publisher00001217,title00730495,author00362786,42614,4.99,40,4.8,0,1/1/1984,Paperback,0,1,0,0,0,48,3,$16.34 ,$8.17 ,$6.86 ,$1.31 ,0
Print,Penguin Group (USA) LLC,publisher00001707,title00687588,NA,42616,14.3,29,4.7,0,4/14/1997,Paperback,0,0,0,1,0,256,3,$46.83 ,$20.71 ,$21.94 ,$4.18 ,0
Print,"Amazon Digital Services,  Inc.",publisher00001805,title00595831,author00110830,42617,13.88,88,4.5,0,6/12/2012,Paperback,0,1,0,0,0,272,3,$45.45 ,$12.71 ,$27.51 ,$5.24 ,0
Print,"Amazon Digital Services,  Inc.",publisher00003157,title00615168,author00115538,42618,22.25,42,4.3,0,6/28/2011,Hardcover,0,1,0,0,0,248,3,$72.86 ,$23.82 ,$34.33 ,$14.71 ,0
Print,Penguin Group (USA) LLC,publisher00001601,title00636113,author00100545,42620,12.81,33,4.5,0,10/7/2014,Paperback,0,0,0,1,0,256,3,$41.95 ,$14.11 ,$23.38 ,$4.45 ,0
Print,"Amazon Digital Services,  Inc.",publisher00001797,title00673448,author00103808,42621,14.01,7,5,0,10/6/2015,Paperback,0,1,0,0,0,328,3,$45.88 ,$19.70 ,$21.99 ,$4.19 ,0
Print,Simon and Schuster Digital Sales Inc,publisher00002973,title00678356,author00108125,42622,14.95,148,4.8,0,4/22/2014,Paperback,0,0,0,1,0,400,3,$48.95 ,$24.48 ,$20.56 ,$3.92 ,0
Print,"Amazon Digital Services,  Inc.",publisher00078225,title00688725,author00152893,42624,22.46,161,4.6,0,12/6/2013,Paperback,0,0,0,0,1,134,3,$73.54 ,$32.69 ,$34.31 ,$6.54 ,0
Print,Penguin Group (USA) LLC,publisher00037168,title00657642,author00097481,42629,23.22,19,4.4,0,6/2/2014,Paperback,0,0,0,1,0,660,3,$76.02 ,$26.91 ,$41.25 ,$7.86 ,0
Print,Random House LLC,publisher00001661,title00730031,author00099370,42631,18.78,185,4.3,0,4/23/2013,Paperback,0,0,0,1,0,384,3,$61.48 ,$16.47 ,$37.81 ,$7.20 ,0
Print,"Amazon Digital Services,  Inc.",publisher00006468,title00617786,author00236768,42633,22.49,20,4.7,0,5/1/2010,Paperback,0,1,0,0,0,424,3,$73.63 ,$27.81 ,$38.49 ,$7.33 ,0
Print,"Amazon Digital Services,  Inc.",publisher00027222,title00708082,author00104085,42634,7.68,43,4.3,0,3/16/2010,Paperback,0,1,0,0,0,128,3,$25.14 ,$8.87 ,$13.67 ,$2.60 ,0
